t,torDes,posDes,velDes,torAct,posAct,velAct,accelAct,i,velErr,posErr,torKdEst,torEst,i2t
0.0,0.0,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.001,-0.081,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.002,-0.153,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.003,-0.214,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.004,-0.265,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.005,-0.305,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.006,-0.335,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.007,-0.353,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.008,-0.359,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.009000000000000001,-0.354,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.01,-0.337,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.011,-0.307,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.012,-0.265,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
0.013000000000000001,-0.21,-1.5462526341887262,0.0,0.06,-1.5462526341887262,0.006492624817418905,-1.00342469355658,0.0,-0.006492624817418905,0.0,0.0,-0.463,0
