t,torDes,posDes,velDes,torAct,posAct,velAct,accelAct,i,velErr,posErr,torKdEst,torEst,i2t
0.0,0.0,1.5631264228554682,0.0,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,-0.0025132741228718345,0.0,-45.23893421169302,0.543,0
0.001,0.0,1.5631264228554682,0.00869173967493176,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.006178465552059927,0.0,111.21237993707868,0.543,0
0.002,0.0,1.5631264228554682,0.01738347934986352,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.014870205226991689,0.0,267.6636940858504,0.543,0
0.003,0.0,1.5631264228554682,0.02597049926967562,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.023457225146803786,0.0,422.2300526424682,0.543,0
0.004,0.0,1.5631264228554682,0.03466223894460738,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.03214896482173555,0.0,578.6813667912398,0.543,0
0.005,0.0,1.5631264228554682,0.043353978619539144,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.04084070449666731,0.0,735.1326809400115,0.543,0
0.006,0.0,1.5631264228554682,0.052045718294470904,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.04953244417159907,0.0,891.5839950887832,0.543,0
0.007,0.0,1.5631264228554682,0.06073745796940266,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.05822418384653084,0.0,1048.0353092375549,0.543,0
0.008,0.0,1.5631264228554682,0.06942919764433443,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.0669159235214626,0.0,1204.4866233863268,0.543,0
0.009000000000000001,0.0,1.5631264228554682,0.07801621756414652,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.07550294344127469,0.0,1359.0529819429446,0.543,0
0.01,0.0,1.5631264228554682,0.08670795723907829,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.08419468311620645,0.0,1515.504296091716,0.543,0
0.011,0.0,1.5631264228554682,0.09539969691401005,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.0928864227911382,0.0,1671.9556102404879,0.543,0
0.012,0.0,1.5631264228554682,0.10409143658894181,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.10157816246606997,0.0,1828.4069243892595,0.543,0
0.013000000000000001,0.0,1.564660403643354,0.11278317626387356,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.11026990214100173,0.0015339807878856412,1984.8582385380312,0.543,0
0.014,0.0,1.564660403643354,0.12137019618368566,0.1,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.11885692206081383,0.0015339807878856412,2139.424597094649,0.543,0
0.015,0.0,1.564660403643354,0.13006193585861742,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.12754866173574558,0.0015339807878856412,2295.8759112434204,0.543,0
0.016,0.0,1.564660403643354,0.13875367553354917,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.13624040141067734,0.0015339807878856412,2452.3272253921923,0.543,0
0.017,0.0,1.564660403643354,0.14744541520848095,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.14493214108560912,0.0015339807878856412,2608.778539540964,0.543,0
0.018000000000000002,0.0,1.564660403643354,0.15613715488341273,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.15362388076054087,0.0015339807878856412,2765.2298536897356,0.543,0
0.019,0.0,1.564660403643354,0.1647241748032248,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.16221090068035296,0.0015339807878856412,2919.7962122463537,0.543,0
0.02,0.0,1.564660403643354,0.17341591447815657,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.17090264035528474,0.0015339807878856412,3076.2475263951255,0.543,0
0.021,0.0,1.564660403643354,0.18210765415308833,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.1795943800302165,0.0015339807878856412,3232.698840543897,0.543,0
0.022,0.0,1.564660403643354,0.1907993938280201,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.18828611970514825,0.0015339807878856412,3389.1501546926684,0.543,0
0.023,0.0,1.5661943844312396,0.19949113350295186,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.19697785938008003,0.0030679615757712823,3545.6014688414407,0.543,0
0.024,0.0,1.5661943844312396,0.20818287317788362,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.20566959905501178,0.0030679615757712823,3702.052782990212,0.543,0
0.025,0.0,1.5661943844312396,0.2167698930976957,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.2142566189748239,0.0030679615757712823,3856.6191415468297,0.543,0
0.026000000000000002,0.0,1.5661943844312396,0.22546163277262748,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.22294835864975565,0.0030679615757712823,4013.0704556956016,0.543,0
0.027,0.0,1.5661943844312396,0.23415337244755927,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.23164009832468743,0.0030679615757712823,4169.521769844373,0.543,0
0.028,0.0,1.5661943844312396,0.242845112122491,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.24033183799961916,0.0030679615757712823,4325.973083993145,0.543,0
0.029,0.0,1.5661943844312396,0.25153685179742274,-0.14,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.24902357767455094,0.0030679615757712823,4482.424398141917,0.543,0
0.03,0.0,1.5677283652191252,0.26012387171723483,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.257610597594363,0.0046019423636569235,4636.990756698535,0.543,0
0.031,0.0,1.5677283652191252,0.26881561139216664,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.2663023372692948,0.0046019423636569235,4793.442070847306,0.543,0
0.032,0.0,1.5677283652191252,0.27750735106709834,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.2749940769442265,0.0046019423636569235,4949.893384996078,0.543,0
0.033,0.0,1.5677283652191252,0.28619909074203015,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.2836858166191583,0.0046019423636569235,5106.34469914485,0.543,0
0.034,0.0,1.5677283652191252,0.2948908304169619,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.29237755629409007,0.0046019423636569235,5262.796013293621,0.543,0
0.035,0.0,1.569262346007011,0.30358257009189366,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.3010692959690218,0.006135923151542565,5419.247327442393,0.543,0
0.036000000000000004,0.0,1.569262346007011,0.31216959001170574,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.3096563158888339,0.006135923151542565,5573.813685999011,0.543,0
0.037,0.0,1.569262346007011,0.3208613296866375,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.31834805556376566,0.006135923151542565,5730.265000147782,0.543,0
0.038,0.0,1.569262346007011,0.3295530693615693,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.3270397952386975,0.006135923151542565,5886.716314296554,0.543,0
0.039,0.0,1.569262346007011,0.33824480903650106,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.3357315349136292,0.006135923151542565,6043.167628445325,0.543,0
0.04,0.0,1.5707963267948966,0.3469365487114328,-0.02,1.5631264228554682,0.0025132741228718345,-0.3967831521483909,0.0,0.344423274588561,0.007669903939428206,6199.6189425940975,0.543,0
