t,torDes,posDes,velDes,torAct,posAct,velAct,accelAct,i,velErr,posErr,torKdEst,torEst,i2t
0.0,0.0,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.001,0.0,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.002,0.778,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.003,0.778,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.004,1.556,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.005,1.556,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.006,2.333,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.007,2.333,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.008,3.111,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.009000000000000001,3.111,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.01,3.8890000000000002,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.011,3.8890000000000002,2.073942025221387,0.0,-0.16,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.012,4.667,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.013000000000000001,4.667,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.014,5.444,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.015,5.444,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.016,6.222,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.017,6.222,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.018000000000000002,7.0,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.019,7.0,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.02,7.7780000000000005,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.021,7.7780000000000005,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.022,8.556000000000001,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.023,8.556000000000001,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.024,9.333,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.025,9.333,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.026000000000000002,10.111,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.027,10.111,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.028,10.889,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.029,10.889,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.03,11.667,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.031,11.667,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.032,12.444,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.033,12.444,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.034,13.222,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.035,13.222,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.036000000000000004,14.0,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.037,14.0,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.038,14.778,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.039,14.778,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.04,15.556000000000001,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.041,15.556000000000001,2.073942025221387,0.0,0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.042,16.333000000000002,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.043000000000000003,16.333000000000002,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.044,17.111,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.045,17.111,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.046,17.889,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.047,17.889,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.048,18.667,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.049,18.667,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.05,19.444,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.051000000000000004,19.444,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.052000000000000005,20.222,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
0.053,20.222,2.073942025221387,0.0,-0.06,2.073942025221387,0.000942477796076938,16.873389422675658,0.0,-0.000942477796076938,0.0,0.0,0.0,0
